state, x, y
AL, 0.1765625, 0.19444445
KY, 0.196875, 0.015151516
OH, 0.2296875, -0.09343434
AK, -0.378125, 0.33333334
LA, 0.071875, 0.28282827
OK, -0.025, 0.10606061
AZ, -0.2921875, 0.116161615
ME, 0.425, -0.35353535
OR, -0.403125, -0.28787878
AR, 0.0671875, 0.13131313
MD, 0.3453125, -0.08585858
PA, 0.3109375, -0.14393939
MA, 0.4, -0.23232323
PR, 0.0359375, 0.4318182
CA, -0.4296875, -0.015151516
MI, 0.1828125, -0.20707071
RI, 0.4140625, -0.20707071
CO, -0.171875, -0.032828283
MN, 0.0234375, -0.2777778
SC, 0.2890625, 0.13383839
CT, 0.3953125, -0.2020202
MS, 0.1234375, 0.20454545
SD, -0.0734375, -0.23484848
DE, 0.3640625, -0.078282826
MO, 0.0578125, -0.0025252525
TN, 0.1765625, 0.07575758
MT, -0.2046875, -0.3459596
TX, -0.0546875, 0.2651515
FL, 0.2875, 0.33585858
NE, -0.0640625, -0.121212125
TT, 0.1375, 0.43434343
GA, 0.2421875, 0.18939394
NV, -0.3625, -0.10858586
UT, -0.275, -0.065656565
NH, 0.403125, -0.28535354
VT, 0.3796875, -0.28535354
HI, -0.1609375, 0.4570707
NJ, 0.3703125, -0.1388889
VA, 0.3203125, -0.012626262
ID, -0.3078125, -0.25
NM, -0.196875, 0.13131313
VI, 0.2265625, 0.4570707
IL, 0.11875, -0.06818182
NY, 0.3453125, -0.23737374
WA, -0.375, -0.41666666
IN, 0.1671875, -0.07070707
NC, 0.31875, 0.060606062
WV, 0.2703125, -0.04292929
IA, 0.0390625, -0.13383839
ND, -0.0703125, -0.33838382
WI, 0.103125, -0.22979797
KS, -0.0453125, -0.005050505
WY, -0.190625, -0.19444445
