ABE Allentown/Bethlehem/Easton, PA
ABI Abilene, TX
ABQ Albuquerque, NM
ABR Aberdeen, SD
ABY Albany, GA
ACT Waco, TX
ACV Arcata/Eureka, CA
ACY Atlantic City, NJ
ADK Adak Island, AK
ADQ Kodiak, AK
AEX Alexandria, LA
AGS Augusta, GA
AKN King Salmon, AK
ALB Albany, NY
ALO Waterloo, IA
ALS Alamosa, CO
ALW Walla Walla, WA
AMA Amarillo, TX
ANC Anchorage, AK
APN Alpena, MI
ART Watertown, NY
ASE Aspen, CO
ATL Atlanta, GA
ATW Appleton, WI
ATY Watertown, SD
AUS Austin, TX
AVL Asheville, NC
AVP Scranton/Wilkes-Barre, PA
AZA Phoenix, AZ
AZO Kalamazoo, MI
BDL Hartford, CT
BET Bethel, AK
BFF Scottsbluff, NE
BFL Bakersfield, CA
BGM Binghamton, NY
BGR Bangor, ME
BHM Birmingham, AL
BIH Bishop, CA
BIL Billings, MT
BIS Bismarck/Mandan, ND
BJI Bemidji, MN
BLI Bellingham, WA
BLV Belleville, IL
BMI Bloomington/Normal, IL
BNA Nashville, TN
BOI Boise, ID
BOS Boston, MA
BPT Beaumont/Port Arthur, TX
BQK Brunswick, GA
BQN Aguadilla, PR
BRD Brainerd, MN
BRO Brownsville, TX
BRW Barrow, AK
BTM Butte, MT
BTR Baton Rouge, LA
BTV Burlington, VT
BUF Buffalo, NY
BUR Burbank, CA
BWI Baltimore, MD
BZN Bozeman, MT
CAE Columbia, SC
CAK Akron, OH
CDC Cedar City, UT
CDV Cordova, AK
CGI Cape Girardeau, MO
CHA Chattanooga, TN
CHO Charlottesville, VA
CHS Charleston, SC
CID Cedar Rapids/Iowa City, IA
CIU Sault Ste. Marie, MI
CKB Clarksburg/Fairmont, WV
CLE Cleveland, OH
CLL College Station/Bryan, TX
CLT Charlotte, NC
CMH Columbus, OH
CMI Champaign/Urbana, IL
CMX Hancock/Houghton, MI
CNY Moab, UT
COD Cody, WY
COS Colorado Springs, CO
COU Columbia, MO
CPR Casper, WY
CRP Corpus Christi, TX
CRW Charleston/Dunbar, WV
CSG Columbus, GA
CVG Cincinnati, OH
CWA Mosinee, WI
CYS Cheyenne, WY
DAB Daytona Beach, FL
DAL Dallas, TX
DAY Dayton, OH
DBQ Dubuque, IA
DCA Washington, DC
DDC Dodge City, KS
DEC Decatur, IL
DEN Denver, CO
DFW Dallas/Fort Worth, TX
DHN Dothan, AL
DIK Dickinson, ND
DLG Dillingham, AK
DLH Duluth, MN
DRO Durango, CO
DRT Del Rio, TX
DSM Des Moines, IA
DTW Detroit, MI
DVL Devils Lake, ND
EAR Kearney, NE
EAT Wenatchee, WA
EAU Eau Claire, WI
ECP Panama City, FL
EGE Eagle, CO
EKO Elko, NV
ELM Elmira/Corning, NY
ELP El Paso, TX
ERI Erie, PA
ESC Escanaba, MI
EUG Eugene, OR
EVV Evansville, IN
EWN New Bern/Morehead/Beaufort, NC
EWR Newark, NJ
EYW Key West, FL
FAI Fairbanks, AK
FAR Fargo, ND
FAT Fresno, CA
FAY Fayetteville, NC
FCA Kalispell, MT
FLG Flagstaff, AZ
FLL Fort Lauderdale, FL
FLO Florence, SC
FNT Flint, MI
FOD Fort Dodge, IA
FSD Sioux Falls, SD
FSM Fort Smith, AR
FWA Fort Wayne, IN
GCC Gillette, WY
GCK Garden City, KS
GEG Spokane, WA
GFK Grand Forks, ND
GGG Longview, TX
GJT Grand Junction, CO
GNV Gainesville, FL
GPT Gulfport/Biloxi, MS
GRB Green Bay, WI
GRI Grand Island, NE
GRK Killeen, TX
GRR Grand Rapids, MI
GSO Greensboro/High Point, NC
GSP Greer, SC
GTF Great Falls, MT
GTR Columbus, MS
GUC Gunnison, CO
GUM Guam, TT
HDN Hayden, CO
HGR Hagerstown, MD
HHH Hilton Head, SC
HIB Hibbing, MN
HLN Helena, MT
HNL Honolulu, HI
HOB Hobbs, NM
HOU Houston, TX
HPN White Plains, NY
HRL Harlingen/San Benito, TX
HSV Huntsville, AL
HTS Ashland, WV
HYS Hays, KS
IAD Washington, DC
IAG Niagara Falls, NY
IAH Houston, TX
ICT Wichita, KS
IDA Idaho Falls, ID
ILG Wilmington, DE
ILM Wilmington, NC
IMT Iron Mountain/Kingsfd, MI
IND Indianapolis, IN
INL International Falls, MN
ISP Islip, NY
ITH Ithaca/Cortland, NY
ITO Hilo, HI
JAC Jackson, WY
JAN Jackson/Vicksburg, MS
JAX Jacksonville, FL
JFK New York, NY
JLN Joplin, MO
JMS Jamestown, ND
JNU Juneau, AK
JST Johnstown, PA
KOA Kona, HI
KTN Ketchikan, AK
LAN Lansing, MI
LAR Laramie, WY
LAS Las Vegas, NV
LAW Lawton/Fort Sill, OK
LAX Los Angeles, CA
LBB Lubbock, TX
LBE Latrobe, PA
LBF North Platte, NE
LBL Liberal, KS
LCH Lake Charles, LA
LCK Columbus, OH
LEX Lexington, KY
LFT Lafayette, LA
LGA New York, NY
LGB Long Beach, CA
LIH Lihue, HI
LIT Little Rock, AR
LNK Lincoln, NE
LRD Laredo, TX
LSE La Crosse, WI
LWB Lewisburg, WV
LWS Lewiston, ID
LYH Lynchburg, VA
MAF Midland/Odessa, TX
MBS Saginaw/Bay City/Midland, MI
MCI Kansas City, MO
MCO Orlando, FL
MCW Mason City, IA
MDT Harrisburg, PA
MDW Chicago, IL
MEI Meridian, MS
MEM Memphis, TN
MFE Mission/McAllen/Edinburg, TX
MFR Medford, OR
MGM Montgomery, AL
MHK Manhattan/Ft. Riley, KS
MHT Manchester, NH
MIA Miami, FL
MKE Milwaukee, WI
MKG Muskegon, MI
MLB Melbourne, FL
MLI Moline, IL
MLU Monroe, LA
MOB Mobile, AL
MOT Minot, ND
MQT Marquette, MI
MRY Monterey, CA
MSN Madison, WI
MSO Missoula, MT
MSP Minneapolis, MN
MSY New Orleans, LA
MTJ Montrose/Delta, CO
MYR Myrtle Beach, SC
OAJ Jacksonville/Camp Lejeune, NC
OAK Oakland, CA
OGD Ogden, UT
OGG Kahului, HI
OGS Ogdensburg, NY
OKC Oklahoma City, OK
OMA Omaha, NE
OME Nome, AK
ONT Ontario, CA
ORD Chicago, IL
ORF Norfolk, VA
ORH Worcester, MA
OTH North Bend/Coos Bay, OR
OTZ Kotzebue, AK
OWB Owensboro, KY
PAE Everett, WA
PAH Paducah, KY
PBG Plattsburgh, NY
PBI West Palm Beach/Palm Beach, FL
PDX Portland, OR
PGD Punta Gorda, FL
PGV Greenville, NC
PHF Newport News/Williamsburg, VA
PHL Philadelphia, PA
PHX Phoenix, AZ
PIA Peoria, IL
PIB Hattiesburg/Laurel, MS
PIE St. Petersburg, FL
PIH Pocatello, ID
PIR Pierre, SD
PIT Pittsburgh, PA
PLN Pellston, MI
PNS Pensacola, FL
PPG Pago Pago, TT
PQI Presque Isle/Houlton, ME
PRC Prescott, AZ
PSC Pasco/Kennewick/Richland, WA
PSE Ponce, PR
PSG Petersburg, AK
PSM Portsmouth, NH
PSP Palm Springs, CA
PUB Pueblo, CO
PUW Pullman, WA
PVD Providence, RI
PVU Provo, UT
PWM Portland, ME
RAP Rapid City, SD
RDD Redding, CA
RDM Bend/Redmond, OR
RDU Raleigh/Durham, NC
RFD Rockford, IL
RHI Rhinelander, WI
RIC Richmond, VA
RIW Riverton/Lander, WY
RKS Rock Springs, WY
RNO Reno, NV
ROA Roanoke, VA
ROC Rochester, NY
ROW Roswell, NM
RST Rochester, MN
RSW Fort Myers, FL
SAF Santa Fe, NM
SAN San Diego, CA
SAT San Antonio, TX
SAV Savannah, GA
SBA Santa Barbara, CA
SBN South Bend, IN
SBP San Luis Obispo, CA
SBY Salisbury, MD
SCC Deadhorse, AK
SCE State College, PA
SCK Stockton, CA
SDF Louisville, KY
SEA Seattle, WA
SFB Sanford, FL
SFO San Francisco, CA
SGF Springfield, MO
SGU St. George, UT
SHD Staunton, VA
SHR Sheridan, WY
SHV Shreveport, LA
SIT Sitka, AK
SJC San Jose, CA
SJT San Angelo, TX
SJU San Juan, PR
SLC Salt Lake City, UT
SLN Salina, KS
SMF Sacramento, CA
SMX Santa Maria, CA
SNA Santa Ana, CA
SPI Springfield, IL
SPN Saipan, TT
SPS Wichita Falls, TX
SRQ Sarasota/Bradenton, FL
STC St. Cloud, MN
STL St. Louis, MO
STS Santa Rosa, CA
STT Charlotte Amalie, VI
STX Christiansted, VI
SUN Sun Valley/Hailey/Ketchum, ID
SUX Sioux City, IA
SWF Newburgh/Poughkeepsie, NY
SWO Stillwater, OK
SYR Syracuse, NY
TBN Fort Leonard Wood, MO
TLH Tallahassee, FL
TOL Toledo, OH
TPA Tampa, FL
TRI Bristol/Johnson City/Kingsport, TN
TTN Trenton, NJ
TUL Tulsa, OK
TUS Tucson, AZ
TVC Traverse City, MI
TWF Twin Falls, ID
TXK Texarkana, AR
TYR Tyler, TX
TYS Knoxville, TN
USA Concord, NC
VCT Victoria, TX
VEL Vernal, UT
VLD Valdosta, GA
VPS Valparaiso, FL
WRG Wrangell, AK
XNA Fayetteville, AR
XWA Williston, ND
YAK Yakutat, AK
YKM Yakima, WA
YUM Yuma, AZ
