state, x, y
AL, 0.1765625, 0.11875
KY, 0.19375, 0.009375
OH, 0.2296875, -0.0546875
AK, -0.3765625, 0.20625
LA, 0.06875, 0.175
OK, -0.0234375, 0.065625
AZ, -0.2953125, 0.071875
ME, 0.425, -0.2140625
OR, -0.409375, -0.178125
AR, 0.0640625, 0.084375
MD, 0.3390625, -0.059375
PA, 0.3109375, -0.090625
MA, 0.4015625, -0.1421875
PR, 0.0375, 0.2671875
CA, -0.43125, -0.0109375
MI, 0.175, -0.1453125
RI, 0.4140625, -0.128125
CO, -0.175, -0.01875
MN, 0.01875, -0.1765625
SC, 0.2875, 0.08125,
CT, 0.3921875, -0.125
MS, 0.1171875, 0.1296875
SD, -0.075, -0.14375
DE, 0.365625, -0.046875
MO, 0.0578125, 0.0
TN, 0.1828125, 0.0515625
MT, -0.209375, -0.2140625
TX, -0.0578125, 0.1625
FL, 0.290625, 0.20625
NE, -0.0609375, -0.0734375
TT, 0.13125, 0.2703125
GA, 0.24375, 0.1203125
NV, -0.36875, -0.075
UT, -0.2765625, -0.040625
NH, 0.403125, -0.1734375
VT, 0.378125, -0.178125
HI, -0.1625, 0.28125
NJ, 0.3703125, -0.084375
VA, 0.3203125, -0.0125
ID, -0.30625, -0.15
NM, -0.1921875, 0.08125
VI, 0.225, 0.284375
IL, 0.121875, -0.0390625
NY, 0.35, -0.140625
WA, -0.378125, -0.253125
IN, 0.1671875, -0.0453125
NC, 0.315625, 0.040625
WV, 0.2671875, -0.025
IA, 0.0390625, -0.0859375
ND, -0.0734375, -0.2109375
WI, 0.1015625, -0.1421875
KS, -0.04375, -0.0046875
WY, -0.1921875, -0.11875
